Name   ;Description 
Aplikasi;seluruh aplikasi surrounding BSG
ATM;Semua yang berkaitan dengan ATM
Card Center;Semua yang berkaitan dengan Card Center
Communication;Services related with communication like requ ...
Email;Services related to email like creating an em ...
Error;Semua permasalahan/error yang berhubungan den ...
Hardware;Services related to hardware purchase, upgrad ...
Hardware/Software;Semua tentang instalasi sistem operasi dan pe ...
Internet;Services related to internet access, WiFi acc ...
Keamanan Informasi;Klaim transaksi terkait incident Teknologi In ...
Klaim;Semua yang berhubungan tentang klaim
Network;Semua permasalahan dan permintaan tentang jar ...
Permintaan;Semua permintaan data
Software;Services related to software installation/un- ...
User;Semua yang berkaitan dengan user